"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"CIGNA HEALTHCARE OF COLORADO, INC.","Cigna Healthcare","H0672","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Health Care Service Corporation","New York","18,126","300 East Randolph St","","Chicago","IL","60601","Customer Service Senior M","Rich","Jared","R","1-615-636-4554","","","jared.rich@cignahealthcare.com","500 Great Circle Road","","Nashville","TN","37228","03/25/2025"
"CLEAR SPRING HEALTH (CO), INC.","Clear Spring Health","H6379","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Group 1001","Chicago","1,948","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","H6672","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Group 1001","Chicago","2,970","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","H9589","Local CCP","Local PPO","01/01/2017","For Profit","Group 1001","Chicago","203","3620 Enterprise Way","","Miramar","FL","33025","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH COMMUNITY CARE, INC.","Clear Spring Health","H3071","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Group 1001","Chicago","2,300","322 S. Green Street","Suite 400","Chicago","IL","60607","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEAR SPRING HEALTH INSURANCE COMPANY","Clear Spring Health","H8014","Local CCP","Local PPO","01/01/2023","For Profit","Group 1001","Chicago","81","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","05/30/2025"
"CLEAR SPRING HEALTH OF ILLINOIS, INC.","Clear Spring Health","H5454","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Group 1001","Chicago","913","227 West Monroe Street","Suite 3950","Chicago","IL","60606","Vice President, Provider","Cuevas","Elizabeth","","1-754-208-5880","","","Elizabeth.Cuevas@clearspringhealthcare.com","250 South Northwest Highway Suite 302","Suite 302","Park Ridge","IL","60068","03/16/2022"
"CLEVER CARE OF GOLDEN STATE, INC.","Clever Care Health Plan","H7607","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Clever Care Health Plan, Inc.","Chicago","28,283","7711 Center Ave","Suite 100","Huntington Beach","CA","92647","Customer Service","Service","Customer","","1-833-388-8168","","","csr@ccmapd.com","7711 Center Ave","Suite 100","Huntington Beach","CA","92647","05/08/2025"
"CLOVER HMO OF NEW JERSEY INC.","Clover Health","H8010","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Clover Health Holdings, Inc.","New York","3,186","P.O. Box 21164","","Eagan","MN","55121","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","P.O. Box 21164","","Eagan","MN","55121","03/12/2025"
"CLOVER INSURANCE COMPANY","Clover Health","H5141","Local CCP","Local PPO","01/01/2013","For Profit","Clover Health Holdings, Inc.","New York","102,588","3401 Mallory Lane Ste 210","","Franklin","TN","37067","Chief Compliance Officer","Richey","Wendy","","1-551-225-2014","","1-201-255-4173","wendy.richey@cloverhealth.com","P.O. Box 21164","","Eagan","MN","55121","03/12/2025"
"COLLABRIA CARE","Providence PACE","H2085","National PACE","National PACE","01/01/2023","Not-for-Profit/Non-Profit","St. Joseph Home Care Network","San Francisco","58","414 South Jefferson Street","","Napa","CA","94559","","Bering","Rika","","1-503-215-3857","","1-206-760-6339","rika.bering@providence.org","4400 NE Halsey, Bldg. 1, Suite 200","","Portland","OR","97213","02/24/2022"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance","H0137","Demo","Medicare-Medicaid Plan HMO/HMOPOS","10/01/2013","Not-for-Profit/Non-Profit","CareSource","Boston","28,358","30 Winter Street","12th Floor","Boston","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","05/28/2025"
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance Massachusetts","H2225","Local CCP","HMO/HMOPOS","06/01/2004","Not-for-Profit/Non-Profit","CareSource","Boston","16,098","30 WINTER STREET","","BOSTON","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","01/16/2023"
"COMMUNITY CARE HEALTH PLAN OF LOUISIANA, INC.","Healthy Blue","H1947","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Elevance Health, Inc.","Chicago","2,151","4425 Corporation Lane","","Virginia Beach","VA","23462","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY CARE HEALTH PLAN, INC.","Community Care","H2034","Local CCP","HMO/HMOPOS","01/01/2008","Not-for-Profit/Non-Profit","Community Care, Inc.","Chicago","472","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY CARE, INC.","Community Care","H5212","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Community Care, Inc.","San Francisco","460","205 Bishops Way","","Brookfield","WI","53005","","Hotline","Provider","","1-866-937-2783","","","claimsinquiries@communitycareinc.org","1801 Dolphin Drive","","Waukesha","WI","53186","02/17/2010"
"COMMUNITY ELDERCARE OF SAN DIEGO","St. Paul's PACE","H5629","National PACE","National PACE","02/01/2008","Not-for-Profit/Non-Profit","St. Paul’s Episcopal Home","San Francisco","1,121","111 Elm Street","","San Diego","CA","92101","Compliance Director","Cueva","Celeste","","1-877-510-7223","","","ccueva@stpaulspace.org","3444 Camino Del Rio N","","San Diego","CA","92108","08/05/2024"
"COMMUNITY FIRST HEALTH PLANS, INC.","Community First","H5447","Local CCP","HMO/HMOPOS","01/01/2021","Not-for-Profit/Non-Profit","Bexar County Hospital District","Dallas","312","12238 Silicon Drive, Suite 100","","San Antonio","TX","78249","Executive Director, Corpo","Razo","Judy","","1-210-358-6396","","","JRazo@cfhp.com","12238 Silicon Dr","STE 100","San Antonio","TX","78249","01/24/2024"
"COMMUNITY HEALTH CHOICE TEXAS, INC.","Community Health Choice","H9826","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Harris County Hospital District","Dallas","718","4888 Loop Central","Suite 600","Houston","TX","77081","Sr. Director - Network Ma","Banda","Michael","","1-713-314-5667","","","michael.banda@communityhealthchoice.org","4888 Loop Central Drive","Suite 600","Houston","TX","77081","02/20/2025"
"COMMUNITY HEALTH GROUP","Community Health Group","H6248","Local CCP","HMO/HMOPOS","01/01/2024","Not-for-Profit/Non-Profit","Community Health Group","New York","295","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","Director of Member Servic","Arce","Adrian","","1-619-498-6456","","","aarce@chgsd.com","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","01/24/2024"
"COMMUNITY HEALTH GROUP","Community Health Group","H4733","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","Community Health Group","New York","8,500","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","Director of Member Servic","Arce","Adrian","","1-619-498-6456","","","aarce@chgsd.com","2420 Fenton Street Suite 100","","Chula Vista","CA","91914","01/24/2024"
"COMMUNITY HEALTH PLAN OF WASHINGTON","Community Health Plan of WA Medicare Advantage","H5826","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Community Health Plan of Washington","Boston","14,302","1111 Third Ave, Suite 400","","Seattle","WA","981011830","Customer Service Departme","Care","Customer","","1-800-942-0247","","1-206-521-8834","CustomerCare@chpw.org","1111 Third Ave, Ste 400","","Seattle","WA","98101","05/11/2021"
"COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","H3655","Local CCP","HMO/HMOPOS","10/01/1994","For Profit","Elevance Health, Inc.","Chicago","284,906","4361 Irwin Simpson Road","","Mason","OH","45040","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY INSURANCE COMPANY","Anthem Blue Cross and Blue Shield","H7093","Local CCP","Local PPO","01/01/2022","For Profit","Elevance Health, Inc.","Chicago","12,879","4361 Irwin-Simpson Road","","Mason","OH","45040","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMMUNITY PACE AT HOME, INC","Community PACE at Home, Inc,","H5085","National PACE","National PACE","07/01/2017","For Profit","Community PACE at Home, Inc","Atlanta","108","231 West Pine Lake Drive","","Newaygo","MI","49337","Director of Operations &","Runions","Christine","","1-231-652-4618","","1-231-652-4620","crunions@communitypace.com","231 West Pine Lake Drive","","Newaygo","MI","49337","11/20/2024"
"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.","CommunityCare Senior Health Plan (HMO)","H3755","Local CCP","HMO/HMOPOS","05/01/1996","Not-for-Profit/Non-Profit","St Francis Health System & St John Health System","Dallas","35,392","Williams Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","Director, Customer Servic","Bass","Kimberly","","1-918-594-5295","6494","","kbass@ccok.com","Williams Center Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","04/09/2025"
"COMPCARE HEALTH SERVICES INSURANCE CORPORATION","Anthem Blue Cross and Blue Shield","H9525","Local CCP","HMO/HMOPOS","01/01/2013","For Profit","Elevance Health, Inc.","Chicago","150,578","N17 W24340 Riverwood","","Waukesha","WI","53188","","Service","Customer","","1-888-230-7338","","","DirectoryRequest_MMP@anthem.com","4361 Irwin Simpson Rd","","Mason","OH","45040","05/23/2023"
"COMPLETE HEALTH WITH PACE","Baptist Health PACE","H6342","National PACE","National PACE","06/01/2016","Not-for-Profit/Non-Profit","Baptist Health (Arkansas)","New York","115","3500 Springhill Drive","","North Little Rock","AR","72117","","Williams","Sheila","","1-501-441-8000","","","sheila.williams@baptist-health.org","3500 Springhill Drive","","North Little Rock","AR","72117","08/15/2022"
"COMPLETE SENIOR CARE, INC.","Complete Senior Care","H8777","National PACE","National PACE","08/01/2011","Not-for-Profit/Non-Profit","Health Association of Niagara County, Incorp.","New York","139","1302 Main Street","","Niagra Falls","NY","14301","Director of Communication","Gormley","Patrick","","1-716-285-8248","127","","gormley@completeseniorcare.org","1302 Main Street","","Niagara Falls","NY","14301","03/04/2025"
"COMPREHENSIVE SENIOR CARE CORPORATION","Senior Care Partners P.A.C.E.","H1310","National PACE","National PACE","04/01/2009","Not-for-Profit/Non-Profit","Comprehensive Senior Care Corporation","Kansas City","632","200 W. Michigan Avenue","Suite 103","Battle Creek","MI","49017","Chief Executive Officer","Harrison","Qiana","","1-269-888-6107","","","q.harrison@seniorcarepartnersmi.org","200 W. Michigan Avenue, Suite 103","","Battle Creek","MI","49017","04/29/2024"
"CONCERTOHEALTH OF NORTHERN VIRGINIA, LLC","Cherry Blossom PACE","H3991","National PACE","National PACE","12/01/2021","For Profit","One Senior Care, Inc.","Philadelphia","34","1901 N Beauregard St","","Alexandria","VA","22311","VP, Controller","Haschalk","Danielle","","1-814-456-5433","","","danielle.haschalk@oneseniorcare.com","100 State Street","Suite 200","Erie","PA","16507","01/27/2025"
"CONCERTOHEALTH PACE OF LOS ANGELES, LLC","InnovAge California PACE - Crenshaw","H7366","National PACE","National PACE","07/01/2022","For Profit","Total Community Options, Inc.","Philadelphia","77","8950 E Lowry Blvd","","Denver","CO","80230","Director of Marketing","Bravo","Sandra","","1-720-387-5733","","","sbravo@innovage.com","8950 East Lowry Boulevard","","Denver","CO","80230","04/03/2024"
"CONNECTICARE INSURANCE COMPANY, INC.","ConnectiCare","H3276","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Molina Healthcare, Inc.","New York","529","175 Scott Swamp Rd","","Farmington","CT","06032","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/29/2025"
"CONNECTICARE, INC.","ConnectiCare","H3528","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Molina Healthcare, Inc.","New York","46,023","175 Scott Swamp Road","","Farmington","CT","06032","","Services","Member","","1-800-665-0898","","","CentralizedOps.Medicare@molinahealthcare.com","200 Oceangate","Suite 100","Long Beach","CA","90802","05/29/2025"
"CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC","Consolidated Assoc Of Railroad Employees Hc","H4556","HCPP - 1833 Cost","HCPP - 1833 Cost","01/01/1992","Not-for-Profit/Non-Profit","Consolidated Assoc of Railroad Employees HC","Dallas","1,008","4912 MIDWAY DR.","P.O. BOX 6130","TEMPLE","TX","76502","Medicare Coordinator","Cumby","Shelly","","1-254-773-1330","306","1-254-774-7652","shellyc@carehealthplan.com","P.O. Box 6130","","Temple","TX","76503-6130","10/09/2023"
"COORDINATED CARE CORPORATION","Wellcare by Allwell","H3499","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","1,873","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","06/25/2024"
"COORDINATED CARE CORPORATION","Wellcare by Allwell","H6348","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Denver","3,530","7700 Forsyth","","St. Louis","MO","63105","","Services","Provider","","1-866-296-8731","","","CorporateMedicareComplianceDept@CENTENE.COM","4349 Easton Parkway","Suite 200","Columbus","OH","43219","07/05/2024"
"COORDINATED CARE OF WASHINGTON, INC.","Wellcare","H0029","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Denver","17,016","7700 Forsyth Blvd","","St. Louis","MO","63105","","Net","Health","","1-800-867-6564","","1-800-977-8226","CorporateMedicareComplianceDept@Centene.com","PO Box 419069","","Rancho Cordova","CA","95741","08/14/2017"
"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","H1608","Local CCP","Local PPO","07/01/2005","For Profit","CVS Health Corporation","Atlanta","146,535","1285 Fern Ridge Parkway, Suite 200","","St. Louis","MO","63141","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","H1206","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","CVS Health Corporation","Atlanta","2,516","3200 Highland Avenue","","Downers Grove","IL","60515","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2023"
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","H7301","Local CCP","Local PPO","01/01/2008","For Profit","CVS Health Corporation","Atlanta","93,916","3200 Highland Avenue","","Downers Grove","IL","60515","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF KANSAS, INC.","Aetna Medicare","H5325","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Atlanta","22,892","9401 Indian Creek Parkway","Suite 1300","Overland Park","KS","66210","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF MISSOURI, INC.","Aetna Medicare","H2663","Local CCP","HMO/HMOPOS","11/01/1995","For Profit","CVS Health Corporation","Atlanta","126,722","1285 Fernridge Parkway, Suite 200","","St. Louis","MO","63141","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF NEBRASKA, INC.","Aetna Medicare","H4711","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Atlanta","10,660","11819 Miami Street, Suite 101","","Omaha","NE","68164","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"COVENTRY HEALTH CARE OF VIRGINIA, INC.","Aetna Better Health of Virginia","H1610","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","CVS Health Corporation","Atlanta","17,347","9881 Mayland Drive","","Richmond","VA","23233","Director of Provider Expe","Koblens","Matt","","1-855-463-0933","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","Aetna Medicare","H1692","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CVS Health Corporation","Atlanta","21,561","500 Virginia Street East","Suite 400","Charleston","WV","25301","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COX HEALTH SYSTEMS HMO INC","Cox HealthPlans","H2942","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","CoxHealth","Kansas City","3,836","3200 S National Ave","3B","Springfield","MO","65807","Director of Member and Pr","Hopkins","Sandy","","1-417-269-2920","","","shopkins@coxhealthplans.com","PO Box 5750","","Springfield","MO","65801","01/20/2023"
"California Physicians' Service","Blue Shield of California","H5928","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","California Physicians' Service","Dallas","9,544","6300 CANOGA AVENUE","","WOODLAND HILLS","CA","91367","","Services","Member","","1-800-776-4466","","","membersvcs@blueshieldca.com","6300 Canoga Avenue","","Woodland Hills","CA","91367","01/11/2021"
"Center for Gerontology","Ascension Living PACE Michigan","H8769","National PACE","National PACE","08/01/2015","Not-for-Profit/Non-Profit","Ascension Health Alliance","Atlanta","241","3801 W. Boulevard Drive","","Flint","MI","48505","Executive Director","Berry","Craig","","1-810-236-7500","","1-810-236-7558","craig.berry@ascension.org","3801 W. Boulevard Drive","","Flint","MI","48505","05/23/2025"
"DEAN HEALTH PLAN, INC.","Dean Advantage","H9096","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","Medica Holding Company","Dallas","10,786","1277 Deming Way","","Madison","WI","53717","Customer Service","Service","Customer","","1-877-232-7566","","","DHP.CustomerRelationsResolutionTeam@medica.com","1277 Deming Way","","Madison","WI","53717","02/01/2023"
"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.","H5264","1876 Cost","1876 Cost","01/01/1999","For Profit","Medica Holding Company","Dallas","11,406","1277 DEMING WAY","","MADISON","WI","53717","Customer Service","Service","Customer","","1-888-422-3326","","","DHP.CustomerRelationsResolutionTeam@medica.com","1277 Deming Way","","Madison","WI","53717","02/01/2023"
"DENVER HEALTH MEDICAL PLAN, INC.","Elevate Medicare Advantage","H5608","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Denver Health and Hospital Authority","Dallas","4,996","777 Bannock Street","Mail Code 6000","Denver","CO","80204","","Services","HealthPlan","","1-303-602-2111","","1-303-602-2099","dhmpinfo@dhha.org","777 Bannock Street","Mail Code 6000","Denver","CO","80204","10/29/2019"
"DEVOTED HEALTH  PLAN OF OREGON","Devoted Health","H7199","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,887","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY","Devoted Health","H9884","Local CCP","Local PPO","01/01/2022","For Profit","Devoted Health, Inc.","Kansas City","1,788","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC","Devoted Health","H9888","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","4,236","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC.","Devoted Health","H6586","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","4,783","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF ARKANSAS INC","Devoted Health","H7397","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","1,101","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC","Devoted Health","H4808","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","8,509","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF GEORGIA INC","Devoted Health","H5453","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","6,099","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC","Devoted Health","H2686","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","7,590","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF INDIANA","Devoted Health","H7471","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","2,017","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF KENTUCKY INC","Devoted Health","H5718","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","2,396","221 Crescent Street","","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF MISSISSIPPI","Devoted Health","H7355","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","2,056","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA INC","Devoted Health","H6018","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","4,431","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA INC","Devoted Health","H7028","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","7,849","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC","Devoted Health","H9231","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","3,959","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC","Devoted Health","H6813","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,946","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH INSURANCE COMPANY OF WASHINGTON","Devoted Health","H8917","Local CCP","Local PPO","01/01/2025","For Profit","Devoted Health, Inc.","Boston","1,856","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH PLAN OF ALABAMA INC","Devoted Health","H3080","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","9,573","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
"DEVOTED HEALTH PLAN OF ARIZONA, INC.","Devoted Health","H8173","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Devoted Health, Inc.","New York","7,615","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","11/15/2024"
